Year,Title,Abstract
2015,pH-Sensitive Polymeric Nanoparticles with Gold(I) Compound Payloads Synergistically Induce Cancer Cell Death through Modulation of Autophagy.,"Various nanomaterials have been demonstrated as autophagy inducers owing to their endocytosis cell uptake pathway and impairment of lysosomes. pH-dependent nanomaterials as drug delivery systems that are capable of dissociating in weakly acidic lysosomal environment (pH 4-5) and consequently releasing the payloads into the cytoplasm have been paid extensive attention, but their autophagy-modulating effects are less reported so far. In this study, we report pH-sensitive micelle-like nanoparticles (NPs) that self-assembled from poly(β-amino ester)s to induce cell autophagy. By encapsulation of gold(I) compounds (Au(I)) into hydrophobic domains of NPs, the resultant Au(I)-loaded NPs (Au(I)⊂NPs) shows synergistic cancer cell killing performance. The Au(I)⊂NPs enter cells through endocytosis pathway and accumulate into acidic lysosomes. Subsequently, the protonation of tertiary amines of poly(β-amino ester)s triggers the dissociation of micelles, damages the lysosomes, and blocks formation of autolysosomes from fusion of lysosomes with autophagosomes. In addition, Au(I) preferentially inhibits thioredoxin reductase (TrxR) in MCF-7 human breast cancer cells that directly links to up-regulate reactive oxygen species (ROS) and consequently induce autophagy and apoptosis. The blockade of autophagy leads to excessive depletion of cellular organelles and essential proteins and ultimately results in cell death. Therefore, pH-sensitive polymeric nanoparticles with gold(I) compound payloads can synergistically induce cancer cell death through regulation of autophagy. Identification of the pH-sensitive nanomaterials for synergistically inducing cell death through regulation autophagy may open a new avenue for cancer therapy."
2016,Delay in Cancer Diagnosis: Causes and Possible Solutions.,"Cancer is the leading cause of death in developed and developing countries. Cancer mortality is expected to rise to an estimated 13.1 million deaths annually by 2030.1 However, certain types of cancer have a high chance of cure if they are detected at an early stage and adequately treated.2 The delays in cancer diagnosis may occur throughout the diagnostic pathway: patient, primary care, and secondary care. Patient delays may occur when the patient fails to recognise and act on suspicious cancer symptoms.3 Poor public awareness for early symptoms of cancer is considered to be the predominant reason for delayed presentation, particularly if symptoms are atypical in nature.4 A recent community-based study measuring public awareness of cancer symptoms in Oman showed that the majority of Omanis were unable to identify common cancer symptoms. These included unexplained bleeding, difficulty swallowing, change in bowel or bladder habits, sores that did not heal, unexplained pain, cough or hoarseness, unexplained lump or swelling, change in the appearance of a mole, and unexplained weight loss. The study also showed that the most reported barriers to seeking timely medical help included being too busy to make an appointment, concern about what the doctor might find, and difficulty talking to the doctor. The study concluded that urgent strategies are needed to increase public awareness in Oman for cancer symptoms.5 The Oman Cancer Association (OCA) is a non-governmental organization working to increase public awareness of cancers using community-based programs. The association works to educate the community about early symptoms of cancer, promote self-examination for cancer (e.g., breast cancer) and promote proper, timely intervention. However, still more public educational activities are needed, particularly in the rural communities. Although the school science curriculum in Oman covers many concepts related to health education, none of them are related to awareness of risk factors for cancer or cancer symptoms.6 Thus, curriculum-based health education regarding the prevention of cancer and motivation of children to incorporate healthy lifestyle practices into their daily lives are needed. Using media such as TV broadcasts, life lectures, seminars, and social media could improve cancer awareness among adolescents. Primary care delays may occur in the recognition, investigation, and referral for symptoms suspicious of cancer.3 Although primary care is the first point of contact for patients using national health services in many countries around the world, delay in cancer diagnosis remains as an ongoing problem at this level. Primary care physicians are expected to identify patients with possible cancer at an early stage, but the diagnosis of cancer is relatively uncommon for individual primary care physician as more than 80% of patients present with non-specific symptoms.7 Indeed, the main concern of a primary care physician is to differentiate the minority of patients who need urgent attention from the majority of patients who are likely to have self-limiting conditions.8 Primary health care services in Oman, similar to the most Arabic countries, are provided by a network of local health centres. However, patients can access medical services at different places, including private clinics and hospitals. Also, some patients may travel abroad for investigations, treatments, medical check-ups, and to obtain a second opinion.9 As a result, there is a serious lack of continuity of care. Continuity of care with a particular physician has been found to increase early detection of cancer and the likelihood of cancer testing.10 Thus, support is needed to increase continuity of care through promoting appointment systems and limited access to a specific primary care physician for non-urgent conditions. Although the Ministry of Health in Oman developed a guideline for early detection and screening of breast cancer in 2010, there is also a need for guidelines to identify alarming symptoms for other types of cancer and to refer suspected patients to a specialist within a specific period.11 A policy has been adopted in the UK to refer patients who are suspected of having cancer to a specialist within two weeks.12 Therefore, availability of guidelines for primary care physicians in Oman to identify suspected symptoms of cancer and refer them early to specialists are important to shorten the appointment waiting time and improve cancer prognosis. In the hospital, delays can be due to the doctors’ delay in making a diagnosis and starting treatment. A doctors’ delay in making a diagnosis is defined as the time taken from primary care referral to diagnosis. Delay of treatment is defined as the interval between diagnosis and the start of treatment.13 Considerable diagnostic delay might occur if several invasive procedures are needed to confirm the diagnosis and the suitability for surgical treatment.14 In summary, a delay in cancer diagnosis can occur at various levels. The patient may fail to recognise suspicious cancer symptoms or act on them. The primary care physician may not recognise patients with suspicious cancer symptoms and investigate them appropriately or refer on time. Patients with suspicious cancer in secondary care may not be seen on time, or they may be referred to the wrong specialty. Thus, using media to broadcast the message of awareness in the community should increase public knowledge of cancer symptoms and the importance of seeking timely medical attention. Regularly updating primary care physicians about alarming symptoms of cancer, developing guidelines to identify these symptoms, promoting continuity of care, and enabling access to specialist expertise through prompt referrals should all help to prevent delays in cancer diagnosis."
2019,Identifying the reasons for delayed presentation of Pakistani breast cancer patients at a tertiary care hospital,"Background Delay in seeking health care by breast cancer patients is associated with advanced stage of disease at presentation and poor survival rates. This study aimed to identify the reasons for delayed presentation and their association with various sociodemographic variables. Methods A total of 200 female patients with abnormal clinical findings, ie, lump or palpable mass, were consecutively invited for this study. Diagnostic delay was defined as a consultation with a health care provider more than 3 months from the appearance of the first symptoms. Sociodemographic variables, presenting symptoms, knowledge about diseases and its symptoms, time between seeking medical attention after appearance of symptoms and causes of delayed presentation were investigated. Chi-squared and logistic regression tests for significance and associations were used. Results Among 125 women with breast cancer fulfilling the inclusion criteria, aged 24–75 years, 88.8% (n=111) presented late (≥3 months) and 59% presented with advanced stage of disease (stage III/IV). The majority (65.6%) were older than 40 years of age, 99.2% were married, 60.8% had <8 years of education, 67.2% had poor social status, and 64.8% had a negative family history of any cancer type. Almost all patients (96%) complained about the presence of a painless lump in their breast. Ignorance of disease or the presence of painless lumps in the breast and low financial resources for therapy (81.1%) were the main variables associated with delayed presentation. Educational factors (P<0.001, OR 4.682) and social status (P<0.001, OR 1.8) were also associated with delayed presentation. Conclusion Our study highlighted the variables associated with delayed presentation in Pakistani breast cancer patients. A significant number of patients presented late owing to misconceptions and poor knowledge about the disease and its symptoms, while illiteracy and poor social status were the major contributing factors for delayed presentation, resulting in an advanced presentation of disease and ultimately a decreased survival rate."
2016,Research progress of cardioprotective agents for prevention of anthracycline cardiotoxicity.,"Anthracyclines, including doxorubicin, epirubicin, daunorubicin and aclarubicin, are widely used as chemotherapeutic agents in the treatment of hematologic and solid tumor, including acute leukemia, lymphoma, breast cancer, gastric cancer, soft tissue sarcomas and ovarian cancer. In the cancer treatment, anthracyclines also can be combined with other chemotherapies and molecular-targeted drugs. The combination of anthracyclines with other therapies is usually the first-line treatment. Anthracyclines are effective and potent agents with a broad antitumor spectrum, but may cause adverse reactions, including hair loss, myelotoxicity, as well as cardiotoxicity. We used hematopoietic stimulating factors to control the myelotoxicity, such as G-CSF, EPO and TPO. However, the cardiotoxicity is the most serious side effect of anthracyclines. Clinical research and practical observations indicated that the cardiotoxicity of anthracyclines is commonly progressive and irreversible. Especially to those patients who have the first time use of anthracyclines, the damage is common. Therefore, early detection and prevention of anthracyclines induced cardiotoxicity are particularly important and has already aroused more attention in clinic. By literature review, we reviewed the research progress of cardioprotective agents for prevention of anthracycline cardiotoxicity."
2023,BC2NetRF: Breast Cancer Classification from Mammogram Images Using Enhanced Deep Learning Features and Equilibrium-Jaya Controlled Regula Falsi-Based Features Selection,"One of the most frequent cancers in women is breast cancer, and in the year 2022, approximately 287,850 new cases have been diagnosed. From them, 43,250 women died from this cancer. An early diagnosis of this cancer can help to overcome the mortality rate. However, the manual diagnosis of this cancer using mammogram images is not an easy process and always requires an expert person. Several AI-based techniques have been suggested in the literature. However, still, they are facing several challenges, such as similarities between cancer and non-cancer regions, irrelevant feature extraction, and weak training models. In this work, we proposed a new automated computerized framework for breast cancer classification. The proposed framework improves the contrast using a novel enhancement technique called haze-reduced local-global. The enhanced images are later employed for the dataset augmentation. This step aimed at increasing the diversity of the dataset and improving the training capability of the selected deep learning model. After that, a pre-trained model named EfficientNet-b0 was employed and fine-tuned to add a few new layers. The fine-tuned model was trained separately on original and enhanced images using deep transfer learning concepts with static hyperparameters’ initialization. Deep features were extracted from the average pooling layer in the next step and fused using a new serial-based approach. The fused features were later optimized using a feature selection algorithm known as Equilibrium-Jaya controlled Regula Falsi. The Regula Falsi was employed as a termination function in this algorithm. The selected features were finally classified using several machine learning classifiers. The experimental process was conducted on two publicly available datasets—CBIS-DDSM and INbreast. For these datasets, the achieved average accuracy is 95.4% and 99.7%. A comparison with state-of-the-art (SOTA) technology shows that the obtained proposed framework improved the accuracy. Moreover, the confidence interval-based analysis shows consistent results of the proposed framework."
2018,Feature engineering for sentiment analysis in e-health forums,"Introduction Exploiting information in health-related social media services is of great interest for patients, researchers and medical companies. The challenge is, however, to provide easy, quick and relevant access to the vast amount of information that is available. One step towards facilitating information access to online health data is opinion mining. Even though the classification of patient opinions into positive and negative has been previously tackled, most works make use of machine learning methods and bags of words. Our first contribution is an extensive evaluation of different features, including lexical, syntactic, semantic, network-based, sentiment-based and word embeddings features to represent patient-authored texts for polarity classification. The second contribution of this work is the study of polar facts (i.e. objective information with polar connotations). Traditionally, the presence of polar facts has been neglected and research in polarity classification has been bounded to opinionated texts. We demonstrate the existence and importance of polar facts for the polarity classification of health information. Material and methods We annotate a set of more than 3500 posts to online health forums of breast cancer, crohn and different allergies, respectively. Each sentence in a post is manually labeled as “experience”, “fact” or “opinion”, and as “positive”, “negative” and “neutral”. Using this data, we train different machine learning algorithms and compare traditional bags of words representations with word embeddings in combination with lexical, syntactic, semantic, network-based and emotional properties of texts to automatically classify patient-authored contents into positive, negative and neutral. Beside, we experiment with a combination of textual and semantic representations by generating concept embeddings using the UMLS Metathesaurus. Results We reach two main results: first, we find that it is possible to predict polarity of patient-authored contents with a very high accuracy (≈ 70 percent) using word embeddings, and that this considerably outperforms more traditional representations like bags of words; and second, when dealing with medical information, negative and positive facts (i.e. objective information) are nearly as frequent as negative and positive opinions and experiences (i.e. subjective information), and their importance for polarity classification is crucial."
2018,Combinational drug delivery using nanocarriers for breast cancer treatments: A review.,"Breast cancer (BC) is the most common cancer in women that requires special attention due to low response to conventional treatments. The common method for treating cancer (especially BC) is applying a single anticancer agent, however, due to some disadvantages including cytotoxicity, side effects, and multidrug resistance, the efficiency and application of this method are limited. To overcome these challenges, the combinational delivery of anticancer drugs (including chemical agents, genetic materials, etc.) has been introduced. To increase the efficacy of this new method, several nanocarriers including inorganic nanoparticles (such as, magnetic nanoparticles, silica nanoparticles, etc.) and organic ones (e.g., dendrimers, liposomes, micelles, and polymeric nanoparticles) have been used. Based on the literature, combinational delivery using nanocarriers showed promising results in the treatment of BC. In this review, combination regimens for the treatment of BC, nanocarriers containing combinations of pharmaceutical agents (including small molecule chemotherapeutic, biological, and gene therapy agents) as an opportunity to overcome chemotherapy challenges and, finally, examples of these formulations have been presented. This review aims to provide a better understanding of these increasingly important new methods of cancer treatment and the main issues and key considerations for a rational design of nanocarriers used in combinational delivery of different synergistic anticancer agents. © 2018 Wiley Periodicals, Inc. J Biomed Mater Res Part A: 106A: 2272-2283, 2018."
2017,Using deep learning for mammography classification,"Breast biopsies based on the results of mammography and ultrasound have been diagnosed as benign at a rate of approximately 40 to 60 percent. Negative biopsy results have negative impacts on many aspects such as unnecessary operations, fear, pain, and cost. Therefore, there is a need for a more reliable technique to reduce the number of unnecessary biopsies in the diagnosis of breast cancer. So, computer-aided diagnostic methods are very important for doctors to make more accurate decisions and to avoid unnecessary biopsies. For this purpose, we apply deep learning using Convolutional Neural Networks (CNN) to classify abnormalities as benign or malignant in mammogram images by using two different databases namely, mini-MIAS and BCDR. While mini-MIAS database has valuable information like location of the center of abnormality and radius of the circle that surrounds the abnormality, BCDR database does not have. When we use both dataset as they are, we observe accuracy, precision, recall, and f-score values between around 60% and 72%. In order to improve our results, we take the benefit of preprocessing methods containing cropping, augmentation, and balancing image data. In an effort to crop image data sourced from BCDR, we create a mask to find region of interest. After applying our preprocessing methods over the BCDR dataset, we observe that classification accuracy improves from 65% to around 85%. When we compare the classification accuracy, precision, recall and f-score obtained from the MIAS database with those obtained from the BCDR database we found that after applying preprocessing methods to BCDR dataset, the classification performance become very close to each other for the two datasets."
2015,The Effect of Mindfulness-Based Music Therapy on Attention and Mood in Women Receiving Adjuvant Chemotherapy for Breast Cancer: A Pilot Study.,"PURPOSE/OBJECTIVES To explore the efficacy of mindfulness-based music therapy (MBMT) to improve attention and decrease mood distress experienced by women with breast cancer receiving adjuvant chemotherapy. DESIGN Quantitative, descriptive, longitudinal approach. SETTING A comprehensive cancer hospital and a university in southern Florida. SAMPLE 15 women with a diagnosis of breast cancer, stages I-III, receiving adjuvant chemotherapy. METHODS Participants individually received MBMT for one hour per week for four weeks. The sessions consisted of varied music activities accompanied by mindfulness attitudes, or mental strategies that enhance moment-to-moment awareness, and weekly homework. Demographic information was collected at baseline. MAIN RESEARCH VARIABLES Attention was measured using Conners' Continuous Performance Test II. Mood was measured using the Profile of Mood States-Brief Form. Narrative comments collected from the homework assignments served to reinforce quantitative data. FINDINGS Repeated measures analysis of variance showed that attention improved significantly over time. Although all mood states significantly improved from the beginning to the end of each MBMT session, the mood state of fatigue decreased significantly more than the other mood states. CONCLUSIONS MBMT enhances attention and mood, particularly the mood state of fatigue, in women with breast cancer receiving adjuvant chemotherapy. . IMPLICATIONS FOR NURSING A preferred music listening and mindfulness exercise may be offered to women with breast cancer who experience attention problems and mood distress."
2016,Current Pharmaceutical Design,"Worldwide, the percentage of people aged over 60 years is growing up quicker than any other age group, as a result of both longer life expectancy and declining birth rates as well as a success of the public health policies and the socioeconomic development. The World Health Organization (WHO) has been pointed out recently that: “currently, one in every nine people in the world is 60 years of age or older. This is expected to increase to one in five people by 2050”. This success (the transition to a much older population) is a challenge for the modern society that shall maximize the health and the functional ability of older people as well as their social participation and safety to achieve an “active ageing”. “Health” refers to physical, mental and social well being as expressed in the WHO definition of health: “maintaining autonomy and independence for the older people is a key goal in the policy framework for active ageing”. “Active” refers to “continuing participation in social, economic, cultural, spiritual and civic affairs, not just the ability to be physically active or to participate in the labour force”. In this issue Alzetta et al. (University of Genoa, Italy) reviews the grounds and patterns of the structuring of longevity and ageing in our society [1]. The older people, even in poor countries, die of noncommunicable diseases (NCDs), such as heart disease, cancer or diabetes, rather than of infectious or parasitic diseases. On 2010, the UN General Assembly passed the resolution A/RES/64/265NCD recognizing “the enormous human suffering, premature death and the seriously negative socioeconomic impact caused by the growing burden of NCD” and called for “global and national action at the highest level to address this development issue”. In this special issue Bousquet et al. (Inserm, France) review the complexity of NCDs intertwined with ageing, show an overview of the problem and propose practical examples of System Medicine (SM) applied to NCDs [2]. Moreover, Cesario et al. (IRCCS “San Raffaele Pisana”, Italy) review the novel system approaches to NCDs, discuss the passage from System Biology (SM) to SM and present the scientific and clinical background of a SM platform [3]. In this issue different pathologies, clinical conditions and pharmacological approaches are reviewed considering the role of ageing. Mazzucco et al. (Catholic University, Italy) review breast cancer in various age-groups and the response to Trastuzumab, a monoclonal antibody that interferes with the HER2/neu receptor [4]. Piotrowicz et al. (Jagiellonian University, Poland) review the pharmacological management of hypertension [5], Matera et al. (Second University of Naples) propose new treatment for chronic obstructive pulmonary disease (COPD) [6], and Zanandrea et al. (University of 27/11/16, 17(19 Editorial (Thematic Issue: Disease Control and Active and Healthy Ageing: New Paradigms of Therapeutic Strategy) | BenthamScience Pagina 2 di 4 http://www.eurekaselect.com/120984 Toulose, France) review the treatment of sarcopenia [7]. As the population ages, the burden of neurodegenerative disorders, including Alzheimer disease (AD), will increase creating an unsustainable healthcare challenge due to a lack of effective treatment. In this issue Hasnain and Vieweg (Memorial University of Newfoundland, Canada) overview the vascular risk factors in AD and vascular dementia [8]. AD is characterized by disturbance of various high preand cortical functions. Cholinergic projections innervate the prefrontal cortex and reduced cholinergic function is associated with cognitive deficits. Cholinergic neurons are specific neurons that synthesize and release acetylcholine (ACh). ACh acts at nicotinic receptors (nAChR) and muscarinic receptors (mAChR). U.S. Food and Drug Administration (FDA) and The European Medicines Agency (EMA) approved several prescription drugs to treat people who have been diagnosed with AD. The drugs include: Razadyne® (galantamine), Exelon® (rivastigmine), and Aricept® (donepezil). These drugs target acetylcholinesterase (defined acetylcholinesterase inhibitors: AChEI) and, in principle, elevate cholinergic signaling. Another drug is known as Namenda® (Memantine), an N-methyl D-aspartate (NMDA) antagonist. None of these medications stops the disease itself: they help to maintain thinking, memory, and speaking skills but don’t influence the disease’ progression. Unfortunately these drugs are effective only for some patients, and may help only for a limited period of time. In this issue different authors describe new pharmacological approaches to neurodegenerative diseases beyond AChEI. Russo et al. (IRCCS “San Raffaele Pisana”, Italy) in this issue describe the neurobiology of the α7nAChR, its role in cognition and in AD, and the clinical status of the most promising molecules for the treatment of cognitive dysfunction in AD [9]. MicroRNA (miRNA), singlestranded RNA molecules consisting of 21-23 nucleotides, are post-transcriptional regulators of gene expression. Impaired miRNA levels are considered causally involved in many diseases, including neurodegenerative and psychiatric disorders. In this issue Greenberg and Soreq (Hebrew University, Israel) outline the current “state of the art” regarding miRNA regulation in neuropathology and explore the possibilities of the development of miRNA as therapeutics for neurodegenerative diseases [10]. Many neurodegenerative diseases may be referred as misfolding diseases Cardinale et al. (IRCCS “San Raffaele Pisana”, Italy) review the ability of intrabodies to recognize misfolding and discuss the use of intrabodies against neurodegenerative disorders [11]. Chronic pain is a widespread problem affecting elder people, in this issue Taylor et al. (NEMA Research, USA) review the association between pain and obesity [12] and Del Bufalo et al. (IRCCS “San Raffaele Pisana”, Italy) review the background, findings, implications and problems in using compounds that act on α9α10-nAChR as potential target in the pathophysiology of chronic pain [13]. As well-known, ageing is a complex process resulting by the interaction between genetic, environmental/behavioral (such as smoking, diet, use of medication, occupational diseases), epigenetic (alterations in DNA methylation patterns, posttranslational modification of histones, and chromatin remodeling), and purely stochastic factors. The time-dependent accumulation of cellular damage is widely considered to be the general cause of ageing. Nine candidate hallmarks, that contribute to the ageing process and collectively determine the ageing phenotype, has been described recently. The conceptualizations of the hallmarks of ageing, as for the conceptualizations of the hallmarks of cancer, may offer an organizing principle to effort and rationalize the complexities of ageing (phenotypes and genotypes). In this issue 27/11/16, 17(19 Editorial (Thematic Issue: Disease Control and Active and Healthy Ageing: New Paradigms of Therapeutic Strategy) | BenthamScience Pagina 3 di 4 http://www.eurekaselect.com/120984 Jylhava (University of Tampere, Finland) reviews the genetic component of human longevity and its phenotypic effectors and discuss several rejuvenation strategies [13]. Capuron et al. (University Victor Segalen, France) review the role of immune system and inflammation in ageing [14]. “Frailty” is considered “a practical, unifying notion in the care of elderly patients that directs attention away from organ-specific diagnoses towards a more holistic viewpoint of the patient and their predicament”. Due to the increasing probability to develop chronic diseases with age, elderly are the main user group of drugs. Moreover, multiple co-occurring medical conditions enhance the complexity generating important therapeutic needs that in turn require drug optimal characterization (i.e. safety and efficacy) as well as appropriately prescription and use and compliance monitoring [discussed in references 2-6]. The term “geriatric drug therapy” explains well the whole value chain from the product development to utilization of the product by the patient itself. Interdisciplinary studies and integrated assessments are needed to deep understand the manifold sources of patient complexity and their interactions, and how provision of healthcare should be harmonized with complexity to optimize health [discussed in 2-3]. Better health promotion and disease prevention interventions will make a significant contribution to the sustainability of health and care systems. 'Omics' research (including genomics, epi-genomics, metagenomics, metabolomics and proteomics) allows the resolution of cell biological processes to “an exceptional high definition” that poses the challenge to determine “when” and “how” the “omics” information may be applied (public/private sectors) to develop personalized/stratified approach in health promotion, diseases prevention and diseases cure. Systems (bio, pharmacology) medicine approaches have the potential to tackle this complexity trough an integration of a variety of medical research and computational modeling. Passing from reductionism to a systemoriented perspective, medical research will take advantage of these highthroughput technologies unveiling their full potential [reviewed in 2-3]. An ageing population will have a strong upward impact on public spending for long term care. This is because frailty and disability rise sharply at older ages, especially amongst the very old (aged 80+) which will be the fastest growing segment of the population in the coming decades. According to the "" Ageing Working Group (AWG) reference scenario"" based on current policy settings, public spending on longterm care is projected to double, increasing from 1.2% of GDP (gross domestic product) in 2007 to 2.3% of GDP in 2060 in the EU as a whole. In the conclusions of this issue Cesario et al. (IRCCS “San Raffaele Pisana”, Italy) in collaboration with Auffray (European"
2022,Breast lesions classifications of mammographic images using a deep convolutional neural network-based approach,"Breast cancer is one of the worst illnesses, with a higher fatality rate among women globally. Breast cancer detection needs accurate mammography interpretation and analysis, which is challenging for radiologists owing to the intricate anatomy of the breast and low image quality. Advances in deep learning-based models have significantly improved breast lesions’ detection, localization, risk assessment, and categorization. This study proposes a novel deep learning-based convolutional neural network (ConvNet) that significantly reduces human error in diagnosing breast malignancy tissues. Our methodology is most effective in eliciting task-specific features, as feature learning is coupled with classification tasks to achieve higher performance in automatically classifying the suspicious regions in mammograms as benign and malignant. To evaluate the model’s validity, 322 raw mammogram images from Mammographic Image Analysis Society (MIAS) and 580 from Private datasets were obtained to extract in-depth features, the intensity of information, and the high likelihood of malignancy. Both datasets are magnificently improved through preprocessing, synthetic data augmentation, and transfer learning techniques to attain the distinctive combination of breast tumors. The experimental findings indicate that the proposed approach achieved remarkable training accuracy of 0.98, test accuracy of 0.97, high sensitivity of 0.99, and an AUC of 0.99 in classifying breast masses on mammograms. The developed model achieved promising performance that helps the clinician in the speedy computation of mammography, breast masses diagnosis, treatment planning, and follow-up of disease progression. Moreover, it has the immense potential over retrospective approaches in consistency feature extraction and precise lesions classification."
2021,Prediction of BRCA Gene Mutation in Breast Cancer Based on Deep Learning and Histopathology Images,"Background Breast cancer is one of the most common cancers and the leading cause of death from cancer among women worldwide. The genetic predisposition to breast cancer may be associated with a mutation in particular genes such as gene BRCA1/2. Patients who carry a germline pathogenic mutation in BRCA1/2 genes have a significantly increased risk of developing breast cancer and might benefit from targeted therapy. However, genetic testing is time consuming and costly. This study aims to predict the risk of gBRCA mutation by using the whole-slide pathology features of breast cancer H&E stains and the patients’ gBRCA mutation status. Methods In this study, we trained a deep convolutional neural network (CNN) of ResNet on whole-slide images (WSIs) to predict the gBRCA mutation in breast cancer. Since the dimensions are too large for slide-based training, we divided WSI into smaller tiles with the original resolution. The tile-based classification was then combined by adding the positive classification result to generate the combined slide-based accuracy. Models were trained based on the annotated tumor location and gBRCA mutation status labeled by a designated breast cancer pathologist. Four models were trained on tiles cropped at 5×, 10×, 20×, and 40× magnification, assuming that low magnification and high magnification may provide different levels of information for classification. Results A trained model was validated through an external dataset that contains 17 mutants and 47 wilds. In the external validation dataset, AUCs (95% CI) of DL models that used 40×, 20×, 10×, and 5× magnification tiles among all cases were 0.766 (0.763–0.769), 0.763 (0.758–0.769), 0.750 (0.738–0.761), and 0.551 (0.526–0.575), respectively, while the corresponding magnification slides among all cases were 0.774 (0.642–0.905), 0.804 (0.676–0.931), 0.828 (0.691–0.966), and 0.635 (0.471–0.798), respectively. The study also identified the influence of histological grade to the accuracy of the prediction. Conclusion In this paper, the combination of pathology and molecular omics was used to establish the gBRCA mutation risk prediction model, revealing the correlation between the whole-slide histopathological images and gRCA mutation risk. The results indicated that the prediction accuracy is likely to improve as the training data expand. The findings demonstrated that deep CNNs could be used to assist pathologists in the detection of gene mutation in breast cancer."
2019,Targeted imaging and targeted therapy of breast cancer cells via fluorescent double template-imprinted polymer coated silicon nanoparticles by an epitope approach.,"Targeting is vital for precise positioning and efficient therapy, and integrated platforms for diagnosis and therapy have attracted more and more attention. Herein, we established dual-template molecularly imprinted polymer (MIP) coated fluorescent silicon nanoparticles (Si NPs) by using the linear peptide of the extracellular region of human epidermal growth factor receptor-2 (HER2) and adopting doxorubicin (DOX) as templates for targeted imaging and targeted therapy. Benefiting from the epitope imprinting approach, the imprinted sites generated by peptides on the MIP surface can be employed for recognizing the corresponding protein, which allowed the MIP to specifically and actively target HER2-positive breast cancer cells. Because of its ability to identify breast cancer cells, the MIP was applied for targeted fluorescence imaging by taking advantage of the excellent fluorescence properties of Si NPs, and the DOX-loaded MIP (MIP@DOX) can act as a therapeutic probe to effectively target and kill breast cancer cells. In fluorescence images, the targeting of the MIP promoted more uptake of the nanoparticles by cells than the non-imprinted polymer (NIP), so HER2-positive breast cancer cells incubated with the MIP exhibited stronger fluorescence, and there was no significant difference in fluorescence when HER2-negative cells and normal cells were respectively hatched with the MIP and NIP. Importantly, the cell viability was evaluated to demonstrate targeted accumulation and therapy of MIP@DOX for breast cancer cells. The nanoplatform for diagnosis and therapy combined the high sensitivity of fluorescence with the high selectivity of the molecular imprinting technique, which holds vital potential in targeted imaging and targeted therapy in vitro."
2020,CNN-Based Quality Assurance for Automatic Segmentation of Breast Cancer in Radiotherapy,"Purpose: More and more automatic segmentation tools are being introduced in routine clinical practice. However, physicians need to spend a considerable amount of time in examining the generated contours slice by slice. This greatly reduces the benefit of the tool's automaticity. In order to overcome this shortcoming, we developed an automatic quality assurance (QA) method for automatic segmentation using convolutional neural networks (CNNs). Materials and Methods: The study cohort comprised 680 patients with early-stage breast cancer who received whole breast radiation. The overall architecture of the automatic QA method for deep learning-based segmentation included the following two main parts: a segmentation CNN model and a QA network that was established based on ResNet-101. The inputs were from computed tomography, segmentation probability maps, and uncertainty maps. Two kinds of Dice similarity coefficient (DSC) outputs were tested. One predicted the DSC quality level of each slice ([0.95, 1] for “good,” [0.8, 0.95] for “medium,” and [0, 0.8] for “bad” quality), and the other predicted the DSC value of each slice directly. The performances of the method to predict the quality levels were evaluated with quantitative metrics: balanced accuracy, F score, and the area under the receiving operator characteristic curve (AUC). The mean absolute error (MAE) was used to evaluate the DSC value outputs. Results: The proposed methods involved two types of output, both of which achieved promising accuracy in terms of predicting the quality level. For the good, medium, and bad quality level prediction, the balanced accuracy was 0.97, 0.94, and 0.89, respectively; the F score was 0.98, 0.91, and 0.81, respectively; and the AUC was 0.96, 0.93, and 0.88, respectively. For the DSC value prediction, the MAE was 0.06 ± 0.19. The prediction time was approximately 2 s per patient. Conclusions: Our method could predict the segmentation quality automatically. It can provide useful information for physicians regarding further verification and revision of automatic contours. The integration of our method into current automatic segmentation pipelines can improve the efficiency of radiotherapy contouring."
2022,Application of Transfer Learning and Ensemble Learning in Image-level Classification for Breast Histopathology,"Background: Breast cancer has the highest prevalence in women globally. The classification and diagnosis of breast cancer and its histopathological images have always been a hot spot of clinical concern. In Computer-Aided Diagnosis (CAD), traditional classification models mostly use a single network to extract features, which has significant limitations. On the other hand, many networks are trained and optimized on patient-level datasets, ignoring the application of lower-level data labels. Method: This paper proposes a deep ensemble model based on image-level labels for the binary classification of benign and malignant lesions of breast histopathological images. First, the BreaKHis dataset is randomly divided into a training, validation and test set. Then, data augmentation techniques are used to balance the number of benign and malignant samples. Thirdly, considering the performance of transfer learning and the complementarity between each network, VGG16, Xception, ResNet50, DenseNet201 are selected as the base classifiers. Result: In the ensemble network model with accuracy as the weight, the image-level binary classification achieves an accuracy of $98.90\%$. In order to verify the capabilities of our method, the latest Transformer and Multilayer Perception (MLP) models have been experimentally compared on the same dataset. Our model wins with a $5\%-20\%$ advantage, emphasizing the ensemble model's far-reaching significance in classification tasks. Conclusion: This research focuses on improving the model's classification performance with an ensemble algorithm. Transfer learning plays an essential role in small datasets, improving training speed and accuracy. Our model has outperformed many existing approaches in accuracy, providing a method for the field of auxiliary medical diagnosis."
